welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration
space,14.5136,,,2023-10-06_15h30.42.500,Fish_Game,2023.1.3,MacIntel,60.0024001,,,
,,,,2023-10-06_15h30.42.500,Fish_Game,2023.1.3,MacIntel,60.0024001,,,
,,,,2023-10-06_15h30.42.500,Fish_Game,2023.1.3,MacIntel,60.0024001,space,34.7585,
