welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration
space,9.7646,,,a,2024-04-26_24h57.32.679,Fish Game,2023.1.3,MacIntel,60.24096386,,,
,,,,a,2024-04-26_24h57.32.679,Fish Game,2023.1.3,MacIntel,60.24096386,space,1.8251,
,,,,a,2024-04-26_24h57.32.679,Fish Game,2023.1.3,MacIntel,60.24096386,,,
,,,,a,2024-04-26_24h57.32.679,Fish Game,2023.1.3,MacIntel,60.24096386,,,
