participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration
,2023-09-28_12h20.03.996,Fish_Game,2023.1.3,MacIntel,60.06006006,,,
,2023-09-28_12h20.03.996,Fish_Game,2023.1.3,MacIntel,60.06006006,space,5.5963,
,2023-09-28_12h20.03.996,Fish_Game,2023.1.3,MacIntel,60.06006006,,,
,2023-09-28_12h20.03.996,Fish_Game,2023.1.3,MacIntel,60.06006006,,,
