participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,space,28.2102,,,,,,,,,,,,,,,,,,,,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.9763,,1,0,0,0,0,1,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.3645,,1,0,1,1,1,1,2,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.5504,,1,0,2,2,2,1,3,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,1.0048,,1,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.3732,,1,0,4,4,4,1,5,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.3716,,1,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.329,,1,0,6,6,6,1,7,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,up,0.34,,1,0,7,7,7,1,8,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,0,9,9,9,1,10,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,0,10,10,10,1,11,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,2,3,right,,,
,2023-08-07_20h32.05.631,Fish_Game,2023.1.3,MacIntel,60.06006006,,,,,,,,0,11,11,11,1,12,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,2,3,right,,,
