welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,trial_resp_keys,trial_resp_rt,trial_resp_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,541.7531,5,left,0.0617,,1,0.5,542.8248,0,5,5,5,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,543.325,6,left,0.0187,,1,1.5,545.3754,0,6,6,6,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,545.8741,7,left,0.1407,,1,1,547.5247,0,7,7,7,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,548.0246,8,left,0.109,,1,1,549.6419,0,8,8,8,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,550.1468,9,left,0.1166,,1,1,551.7942,0,9,9,9,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,552.2944,10,left,0.0148,,0,0.5,553.3305,0,10,10,10,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,2,3,right
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,553.8338,11,left,0.0817,,0,0.5,554.9465,0,11,11,11,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,2,3,right
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,555.4501,12,left,0.1493,,0,0.5,556.6316,0,12,12,12,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,2,3,right
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,557.1332,13,right,0.1701,,1,1.5,559.3326,0,13,13,13,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right
,,,,A,2024-04-29_20h57.54.456,Fish Game,2023.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,559.8312,14,right,0.1201,,1,0.5,560.9649,0,14,14,14,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
