welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate
space,8.898,,,2023-10-10_10h53.11.028,Fish_Game,2023.1.3,MacIntel,60.0024001
,,,,2023-10-10_10h53.11.028,Fish_Game,2023.1.3,MacIntel,60.0024001
