welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3
space,2.1712,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,space,5.0754,,,,,,,,,,,,,,,,,,,
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,0.558,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,0.4449,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,1.0546,,1,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,0.3622,,1,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,0.3477,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,1.566,,0,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,0.687,,1,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,left,0.4051,,0,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.1248,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.0899,,1,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.3281,,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.6999,,1,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.7623,,1,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.4223,,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.6856,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,1.5901,,1,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.3843,,1,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.3092,,1,0,2,2,2,1,3,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.2718,,1,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.1907,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.3649,,1,0,5,5,5,1,6,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.6036,,1,0,6,6,6,1,7,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.4234,,1,0,7,7,7,1,8,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,right,0.7643,,0,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.3625,,1,0,9,9,9,1,10,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.3821,,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.6601,,1,0,11,11,11,1,12,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.6536,,1,0,12,12,12,1,13,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up
,,,,2023-10-09_18h13.58.211,Fish_Game,2023.1.3,MacIntel,49.98750312,,,,up,0.7611,,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up
