welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fish_key_2.corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key.keys,ExpStart_key.rt,ExpStart_key.duration,block number,block assignment,fish_key_button.keys,fish_key_button.rt,fish_key_button.duration,fish_key.corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3
space,2.0035,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,space,2.0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,2.4978,,1,0,0,0,0,1,1,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.6691,,1,0,1,1,1,1,2,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.6653,,0,0,2,2,2,1,3,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.5984,,1,0,3,3,3,1,4,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/blank.jpg,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.4177,,1,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.4663,,0,0,5,5,5,1,6,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.8864,,1,0,6,6,6,1,7,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5443,,1,0,7,7,7,1,8,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5349,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.6032,,0,0,9,9,9,1,10,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.6013,,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.7344,,1,0,11,11,11,1,12,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.65,,0,0,12,12,12,1,13,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.5819,,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.6791,,1,0,14,14,14,1,15,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.8682,,1,0,0,0,0,1,1,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.4988,,1,0,1,1,1,1,2,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.6656,,0,0,2,2,2,1,3,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.5502,,0,0,3,3,3,1,4,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/blank.jpg,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.5155,,0,0,4,4,4,1,5,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.5895,,1,0,5,5,5,1,6,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.4482,,1,0,6,6,6,1,7,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.3462,,1,0,7,7,7,1,8,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.8471,,1,0,8,8,8,1,9,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.4352,,1,0,9,9,9,1,10,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.3817,,1,0,10,10,10,1,11,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,right,0.6349,,0,0,11,11,11,1,12,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.7519,,1,0,12,12,12,1,13,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,up,0.6012,,1,0,13,13,13,1,14,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,left,0.6716,,0,0,14,14,14,1,15,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,1,,,,,,,,,space,1.8839,,1,1condition/mainTrials10.xlsx,up,1.0704,,0,0.5,211.7483,0,0,0,0,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,2,,,,,,,,,,,,,,left,0.7155,,1,0.5,213.4997,0,1,1,1,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,3,,,,,,,,,,,,,,left,0.5001,,1,0.5,215.0319,0,2,2,2,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,4,,,,,,,,,,,,,,left,0.5518,,1,1,217.1147,0,3,3,3,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,5,,,,,,,,,,,,,,left,0.4807,,1,0.5,218.6306,0,4,4,4,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,6,,,,,,,,,,,,,,right,0.5542,,0,1.5,221.2146,0,5,5,5,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,7,,,,,,,,,,,,,,left,0.6472,,1,0.5,222.8986,0,6,6,6,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,8,,,,,,,,,,,,,,left,0.7293,,1,1,225.1652,0,7,7,7,1,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,9,,,,,,,,,,,,,,up,0.6979,,0,0.5,226.8818,0,8,8,8,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,10,,,,,,,,,,,,,,left,0.6142,,1,1.5,229.5299,0,9,9,9,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,0,1,left
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,11,,,,,,,,,,,,,,right,0.6328,,1,1,231.6982,0,10,10,10,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_b.PNG,2,3,right
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,12,,,,,,,,,,,,,,left,0.6513,,0,1,233.8638,0,11,11,11,1,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,2,3,right
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,13,,,,,,,,,,,,,,right,0.5489,,1,0.5,235.4493,0,12,12,12,1,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,2,3,right
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,14,,,,,,,,,,,,,,right,0.4653,,1,0.5,236.9321,0,13,13,13,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,2,3,right
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,15,,,,,,,,,,,,,,right,0.5013,,1,1.5,239.4639,0,14,14,14,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_b.PNG,stimuli/bead_g.PNG,2,3,right
,,,,2023-10-10_15h07.44.365,Fish_Game,2023.1.3,MacIntel,60.0024001,,,,,,,,,,,,,1,,,,,,,,,,,,2,1condition/mainTrials2.xlsx,up,0.8151,,1,0.5,246.3134,0,0,0,0,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,1,2,up
