welcome_key_keys,welcome_key_rt,welcome_key_duration,group_id,path_id,date,expName,psychopyVersion,OS,frameRate,study_id,session_id,prolific_pid,ins1_key_keys,ins1_key_rt,ins1_key_duration
space,5.673,,1A,A,2024-02-16_14h43.08.757,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,
,,,1A,A,2024-02-16_14h43.08.757,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,space,32.4071,
,,,1A,A,2024-02-16_14h43.08.757,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,
,,,1A,A,2024-02-16_14h43.08.757,Fish Game,2023.1.3,MacIntel,59.97361161,justicestudyid,justicesessionid,justiceprolificid,,,
