welcome_key.keys,welcome_key.rt,welcome_key.duration,participant,date,expName,psychopyVersion,OS,frameRate,ins1_key.keys,ins1_key.rt,ins1_key.duration
space,0.89,,,2023-11-06_17h29.36.342,Fish Game,2023.1.3,MacIntel,60.06006006,,,
,,,,2023-11-06_17h29.36.342,Fish Game,2023.1.3,MacIntel,60.06006006,space,0.5174,
,,,,2023-11-06_17h29.36.342,Fish Game,2023.1.3,MacIntel,60.06006006,,,
,,,,2023-11-06_17h29.36.342,Fish Game,2023.1.3,MacIntel,60.06006006,,,
,,,,2023-11-06_17h29.36.342,Fish Game,2023.1.3,MacIntel,60.06006006,,,
