welcome_key_keys,welcome_key_rt,welcome_key_duration,prolific_id,path_id,date,expName,psychopyVersion,OS,frameRate,ins1_key_keys,ins1_key_rt,ins1_key_duration,practice_trial_started,practice_trial_num,prac_key_resp_keys,prac_key_resp_rt,prac_key_resp_duration,prac_resp_corr,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,trial,fish1_p,fish2_p,fish3_p,fish4_p,fish5_p,pond_p,pond_p2,pond_p3,ExpStart_key_keys,ExpStart_key_rt,ExpStart_key_duration,block number,block assignment,main_trial_started,main_trial_num,main_trial_keys,main_trial_rt,main_trial_duration,main_resp_corr,fish_interval,key_resp_time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fish1,fish2,fish3,fish4,fish5,pond,pond2,pond3,block_correct,reward_amount,date_end_task,pracBlock.thisRepN,pracBlock.thisTrialN,pracBlock.thisN,pracBlock.thisIndex,pracBlock.ran,pracBlock.order,pracBlocksFile,prac_trials.order
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,1005.0379,7,up,0.6621,,1,1.5,1007.2058,0,7,7,7,1,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,up,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,1007.7061,8,up,0.5095,,0,0.5,1008.7224,0,8,8,8,1,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,1,2,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,1009.223,9,up,0.5887,,0,1,1010.8243,0,9,9,9,1,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,1011.3247,10,up,0.5419,,0,1.5,1013.3753,0,10,10,10,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,stimuli/bead_b.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,1013.8753,11,right,0.5024,,1,0.5,1014.8929,0,11,11,11,1,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,1015.3944,12,right,0.5928,,1,0.5,1016.4943,0,12,12,12,1,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,1016.9945,13,right,0.65,,1,0.5,1018.1624,0,13,13,13,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,1018.6628,14,right,0.5415,,1,0.5,1019.7293,0,14,14,14,1,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_g.PNG,stimuli/bead_y.PNG,stimuli/bead_g.PNG,2,3,right,,,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,1condition/mainTrials8.xlsx,1025.2415,0,up,0.6036,,0,1.5,1027.3668,0,0,0,0,1,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,"[13,13,15,14,14,11,12]",,,,,,,,,,
,,,,A,2024-05-08_11h18.39.553,Fish Game,2023.1.3,MacIntel,60.97560976,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1027.8673,1,up,0.6088,,0,1,1029.4841,0,1,1,1,1,stimuli/bead_b.PNG,stimuli/bead_y.PNG,stimuli/blank.jpg,stimuli/blank.jpg,stimuli/blank.jpg,0,1,left,,,,,,,,,,,
